date;PC1;PC2;PC3
2016-11-04T11:00:00Z;-3,000618e-02;-0,34530288;-0,246822128
2016-11-04T12:00:00Z;-6,800640e-02;-0,34664590;-0,164703317
2016-11-04T13:00:00Z;-3,987034e-02;-0,39583103;-0,214945264
2016-11-04T14:00:00Z;-1,352774e-01;-0,51853602;-0,159108452
2016-11-04T15:00:00Z;-4,823524e-02;-0,33865417;-0,262662755
2016-11-04T16:00:00Z;-1,139898e-01;-0,39358437;-0,192934353
2016-11-04T17:00:00Z;-4,516266e-03;-0,38403885;-0,242491974
2016-11-04T18:00:00Z;-1,212500e-02;-0,36021233;-0,239525233
2016-11-04T19:00:00Z;-4,359062e-02;-0,39047104;-0,241177851
2016-11-04T20:00:00Z;-1,355038e-02;-0,32902735;-0,248154556
2016-11-04T21:00:00Z;-9,139755e-02;-0,32045843;-0,360282778
2016-11-04T22:00:00Z;-1,193458e-01;-0,50520559;-0,164973188
2016-11-04T23:00:00Z;-2,377414e-01;-0,32599225;-0,076907597
2016-11-05T00:00:00Z;-7,242158e-02;-0,29920660;-0,131706300
2016-11-05T01:00:00Z;-5,841708e-02;-0,31522844;-0,255296852
2016-11-05T02:00:00Z;-2,075082e-01;-0,34660448;-0,074306716
2016-11-05T03:00:00Z;-1,591896e-01;-0,12696252;-0,195141994
2016-11-05T04:00:00Z;-5,746015e-02;-0,24512742;-0,210362392
2016-11-05T05:00:00Z;-9,197934e-02;-0,35949297;-0,098853930
2016-11-05T06:00:00Z;-1,669741e-02;-0,33524150;-0,195421040
2016-11-05T07:00:00Z;-7,018697e-02;-0,18241632;-0,201812814
2016-11-05T08:00:00Z;-8,349117e-02;-0,40450555;-0,205619383
2016-11-05T09:00:00Z;-1,096125e-01;-0,36049800;-0,227252933
2016-11-05T10:00:00Z;-1,146861e-01;-0,51406099;-0,189496850
2016-11-05T11:00:00Z;-1,461372e-01;-0,34783033;-0,155885676
2016-11-05T12:00:00Z;-6,175664e-02;-0,15373009;-0,241193534
2016-11-05T13:00:00Z;-2,719726e-02;-0,16874581;-0,240481928
2016-11-05T14:00:00Z;-7,277243e-02;-0,41881871;-0,191926523
2016-11-05T15:00:00Z;-1,149012e-01;-0,42227449;-0,228375734
2016-11-05T16:00:00Z;-7,388711e-02;-0,40867849;-0,267142264
2016-11-05T17:00:00Z;-1,306656e-01;-0,45424015;-0,077798677
2016-11-05T18:00:00Z;-5,770399e-02;-0,36825658;-0,219041000
2016-11-05T19:00:00Z;-1,967808e-01;-0,42727490;-0,225847416
2016-11-05T20:00:00Z;-1,045283e-01;-0,22539901;-0,219922116
2016-11-05T21:00:00Z;-8,140692e-02;-0,39221749;-0,129762022
2016-11-05T22:00:00Z;-1,196766e-01;-0,41282748;-0,115053361
2016-11-05T23:00:00Z;-8,263919e-02;-0,15755945;-0,247736374
2016-11-06T00:00:00Z;-1,243654e-01;-0,34309734;-0,182010708
2016-11-06T01:00:00Z;-1,086374e-01;-0,36759347;-0,126158383
2016-11-06T02:00:00Z;-9,460741e-02;-0,16867636;-0,203171017
2016-11-06T03:00:00Z;-2,106389e-01;-0,37249370;-0,153574113
2016-11-06T04:00:00Z;-8,234635e-02;-0,33183401;-0,292612484
2016-11-06T05:00:00Z;-2,367208e-01;-0,48651910;-0,015000069
2016-11-06T06:00:00Z;-2,417577e-02;-0,32083226;-0,181387402
2016-11-06T07:00:00Z;-4,761271e-02;-0,25173336;-0,184609626
2016-11-06T08:00:00Z;-8,460772e-02;-0,22646375;-0,222802567
2016-11-06T09:00:00Z;-2,272895e-01;-0,40418701; 0,003865210
2016-11-06T10:00:00Z;-3,583858e-01;-0,62295557; 0,013628124
2016-11-06T11:00:00Z; 1,047422e-02;-0,52621920;-0,307817584
2016-11-06T12:00:00Z;-3,275431e-02;-0,24153093;-0,236886734
2016-11-06T13:00:00Z;-1,834473e-02;-0,40810623;-0,188380569
2016-11-06T14:00:00Z;-1,155931e-01;-0,42087345;-0,160472636
2016-11-06T15:00:00Z;-6,317683e-02;-0,46408830;-0,222787749
2016-11-06T16:00:00Z;-9,228562e-02;-0,34438873;-0,268816018
2016-11-06T17:00:00Z;-2,251690e-02;-0,44368145;-0,259029632
2016-11-06T18:00:00Z;-4,035003e-02;-0,21603711;-0,155739963
2016-11-06T19:00:00Z;-6,304828e-02;-0,17839083;-0,133404915
2016-11-06T20:00:00Z;-1,783694e-02;-0,31934988;-0,234684874
2016-11-06T21:00:00Z;-7,087346e-02;-0,30443891;-0,178051507
2016-11-06T22:00:00Z;-1,453842e-01;-0,28497898;-0,117935125
2016-11-06T23:00:00Z;-1,898936e-01;-0,30868658;-0,092055352
2016-11-07T00:00:00Z;-8,112367e-02;-0,41071460;-0,184963459
2016-11-07T01:00:00Z;-6,776777e-02;-0,36528875;-0,209731700
2016-11-07T02:00:00Z;-9,956135e-02;-0,28700362;-0,146850242
2016-11-07T03:00:00Z;-2,216594e-01;-0,26646266;-0,124621410
2016-11-07T04:00:00Z;-1,894090e-01;-0,15249078;-0,118251618
2016-11-07T05:00:00Z;-4,023639e-02;-0,24129959;-0,155981322
2016-11-07T06:00:00Z;-4,846600e-02;-0,16546609;-0,166747770
2016-11-07T07:00:00Z;-1,787505e-01;-0,44195401;-0,105289245
2016-11-07T08:00:00Z;-1,448092e-01;-0,37371055;-0,157865824
2016-11-07T09:00:00Z;-7,834144e-02;-0,41914868;-0,280574373
2016-11-07T10:00:00Z;-8,236724e-02;-0,38212294;-0,120563272
2016-11-07T11:00:00Z;-5,033024e-02;-0,48199875;-0,201446262
2016-11-07T12:00:00Z;-2,015051e-02;-0,41048034;-0,226247428
