date;PC1;PC2;PC3
2016-11-04T16:00:00Z; 6,371248; 0,7782023298; 3,028034346
2016-11-04T17:00:00Z; 5,921941; 1,3958247910; 3,325505233
2016-11-04T18:00:00Z; 5,462162; 0,9419133721; 2,831901333
2016-11-04T19:00:00Z; 5,448292; 1,2590422063; 2,694065836
2016-11-04T20:00:00Z; 4,506788; 0,7563421802; 2,320370173
2016-11-04T21:00:00Z; 4,858516; 0,8599177259; 1,817116913
2016-11-04T22:00:00Z; 3,914369;-0,0925887421; 2,453460567
2016-11-04T23:00:00Z; 4,278360;-0,4226594131; 1,685740995
2016-11-05T00:00:00Z; 3,890934; 0,6699241759; 2,024949708
2016-11-05T01:00:00Z; 4,440193; 0,6242207136; 1,725236108
2016-11-05T02:00:00Z; 3,240856;-0,6896575021; 1,636623436
2016-11-05T03:00:00Z; 2,149136;-0,0306397108; 0,226938086
2016-11-05T04:00:00Z; 3,018540; 0,7084982630; 1,414342736
2016-11-05T05:00:00Z; 1,584846;-0,2014780286; 0,956715524
2016-11-05T06:00:00Z; 2,360746; 0,5607054631; 1,453288437
2016-11-05T07:00:00Z; 1,663761; 0,3144376775; 0,934402407
2016-11-05T08:00:00Z; 3,307722; 0,0787999984; 1,853615480
2016-11-05T09:00:00Z; 4,097023;-0,2692137934; 1,506646527
2016-11-05T10:00:00Z; 3,609099; 0,1647362112; 1,850449314
2016-11-05T11:00:00Z; 3,911679;-0,0870587550; 1,596558452
2016-11-05T12:00:00Z; 3,719005; 1,0747286060; 0,662008973
2016-11-05T13:00:00Z; 3,263400; 0,9300208659; 0,845953974
2016-11-05T14:00:00Z; 6,041560; 0,6530262642; 3,352352308
2016-11-05T15:00:00Z; 6,913141; 0,1134285128; 3,150379751
2016-11-05T16:00:00Z; 5,044159; 0,2870042191; 2,521007437
2016-11-05T17:00:00Z; 3,586405;-0,3807336908; 2,385862650
2016-11-05T18:00:00Z; 6,652001; 1,3084810369; 2,693640121
2016-11-05T19:00:00Z; 5,778804;-0,4090345358; 2,223442185
2016-11-05T20:00:00Z; 3,474800; 0,0131637521; 1,040379859
2016-11-05T21:00:00Z; 2,677438; 0,0668600089; 1,675390302
2016-11-05T22:00:00Z; 4,016418; 0,2037374923; 2,337170004
2016-11-05T23:00:00Z; 3,087782; 0,4839033172; 0,894415998
2016-11-06T00:00:00Z; 4,063914; 0,4743901867; 2,299580032
2016-11-06T01:00:00Z; 3,103633;-0,1499472909; 1,868843159
2016-11-06T02:00:00Z; 2,928410; 0,0021316383; 0,840960529
2016-11-06T03:00:00Z; 4,858506;-0,8237955629; 1,904730771
2016-11-06T04:00:00Z; 3,100515; 0,4672939555; 1,486046731
2016-11-06T05:00:00Z; 2,535612;-0,7142476239; 1,509904199
2016-11-06T06:00:00Z; 2,375787; 0,4499157801; 1,343556043
2016-11-06T07:00:00Z; 3,443658; 0,1839233555; 1,455918868
2016-11-06T08:00:00Z; 2,711427; 0,0663525365; 0,983465168
2016-11-06T09:00:00Z; 3,525381;-0,5953998191; 2,156104223
2016-11-06T10:00:00Z; 4,109115;-0,9722576310; 2,430239528
2016-11-06T11:00:00Z; 4,468155; 0,8621758243; 2,391316567
2016-11-06T12:00:00Z; 3,627914; 0,9127172198; 1,477793492
2016-11-06T13:00:00Z; 3,848362; 0,4623884812; 2,536725185
2016-11-06T14:00:00Z; 4,456988; 0,1496991939; 2,040570610
2016-11-06T15:00:00Z; 6,235938; 0,2372230696; 3,217004934
2016-11-06T16:00:00Z; 4,824637; 0,2092319124; 1,722827116
2016-11-06T17:00:00Z; 5,234954; 1,0220486211; 2,863895219
2016-11-06T18:00:00Z; 3,142532; 0,4012426681; 1,377378782
2016-11-06T19:00:00Z; 2,815315;-0,0629211799; 0,905935399
2016-11-06T20:00:00Z; 3,608372; 1,0068396800; 1,893773321
2016-11-06T21:00:00Z; 4,073422; 0,7506601080; 1,776759783
2016-11-06T22:00:00Z; 3,688265;-0,1321972768; 1,766454080
2016-11-06T23:00:00Z; 3,717730;-0,2279040933; 1,772528995
2016-11-07T00:00:00Z; 4,860014; 0,7744694743; 2,623511029
2016-11-07T01:00:00Z; 4,727711; 0,2211236071; 2,341653448
2016-11-07T02:00:00Z; 3,464101; 0,2027367359; 1,514924560
2016-11-07T03:00:00Z; 4,704934;-0,6093178054; 1,676486792
2016-11-07T04:00:00Z; 2,310183;-0,4916806777; 0,686872673
2016-11-07T05:00:00Z; 2,156061; 0,4529059338; 1,214471619
